latitude,longitude
12.513659,76.852851
12.51355,76.852603
12.513443,76.852356
12.513335,76.8521
12.513228,76.851845
12.513122,76.851594
12.513017,76.851343
12.512916,76.851088
12.512818,76.850823
12.512719,76.850555
12.512618,76.85028
12.512515,76.85
12.512408,76.849709
12.512302,76.849413
12.512192,76.849106
12.51208,76.848793
12.511967,76.848479
12.511856,76.84817
12.511746,76.847863
12.511639,76.847566
12.511536,76.847277
12.511437,76.847001
12.511338,76.846724
12.511235,76.846439
12.511132,76.846151
12.511027,76.84586
12.510923,76.84557
12.510818,76.845275
12.51071,76.844975
12.510601,76.844671
12.510489,76.84436
12.510377,76.844048
12.510265,76.843735
12.51015,76.843415
12.510035,76.843094
12.509918,76.842767
12.509797,76.842431
12.509679,76.842103
12.509557,76.841762
12.509433,76.841421
12.509296,76.841081
12.509157,76.840737
12.509014,76.840397
12.508869,76.840054
12.508722,76.839706
12.508576,76.839361
12.508427,76.839009
12.508278,76.838655
12.508127,76.838299
12.507978,76.837948
12.507828,76.837594
12.50768,76.837243
12.507535,76.836901
12.507394,76.836568
12.50726,76.836252
12.507132,76.835949
12.507004,76.835646
12.506878,76.835348
12.506752,76.835052
12.506627,76.834758
12.506503,76.834473
12.506373,76.834201
12.50624,76.833937
12.506108,76.833677
12.505976,76.833417
12.505845,76.833161
12.505714,76.832902
12.505587,76.832654
12.505458,76.8324
12.50533,76.832148
12.505201,76.831896
12.505074,76.831646
12.504943,76.831394
12.504814,76.831146
12.504684,76.830898
12.504556,76.830652
12.504433,76.830416
12.504314,76.830188
12.504195,76.82996
12.504085,76.829749
12.503977,76.829542
12.503872,76.82934
12.50377,76.829145
12.503668,76.828949
12.503565,76.828752
12.503456,76.828543
12.503349,76.828339
12.503235,76.828119
12.503122,76.827903
12.503006,76.827681
12.502891,76.827461
12.502772,76.827232
12.50265,76.826998
12.502528,76.826764
12.502406,76.826531
12.502286,76.8263
12.502169,76.826074
12.502054,76.825853
12.501945,76.825641
12.501844,76.825447
12.501749,76.825262
12.501655,76.82508
12.501574,76.824925
12.501487,76.824755
12.501407,76.824601
12.501335,76.824461
12.501266,76.824328
12.501202,76.824204
12.501143,76.82409
12.501089,76.823986
12.50093,76.823955
12.500884,76.823865
12.500838,76.823776
12.500792,76.823686
12.500746,76.823596
12.500699,76.823506
12.500662,76.823433
12.50063,76.823372
12.500597,76.823311
12.500565,76.82325
12.500528,76.823181
12.500489,76.823108
12.500444,76.823023
12.500393,76.822929
12.500336,76.822819
12.500279,76.822707
12.500222,76.822595
12.500164,76.822482
12.500073,76.822362
12.500039,76.822245
12.499976,76.822128
12.499913,76.822013
12.499848,76.821888
12.499785,76.821761
12.499719,76.821629
12.49965,76.82149
12.499588,76.821354
12.499536,76.821216
12.499487,76.821085
12.499439,76.820958
12.499385,76.82085
12.49936,76.820727
12.499322,76.820608
12.499283,76.820483
12.499252,76.820364
12.499223,76.820244
12.499195,76.820124
12.49917,76.820015
12.499142,76.819892
12.499111,76.819759
12.499079,76.819617
12.499052,76.819495
12.49903,76.81936
12.499006,76.819221
12.498985,76.819091
12.498966,76.818976
12.498949,76.818878
12.498936,76.818799
12.498927,76.818745
12.49892,76.818703
12.498915,76.818675
12.498912,76.818655
12.498908,76.818628
12.498906,76.818587
12.498902,76.818531
12.498897,76.818463
12.498892,76.818397
12.49889,76.818321
12.498888,76.81824
12.498886,76.818139
12.498883,76.818034
12.49888,76.817919
12.498877,76.817794
12.498875,76.817676
12.498873,76.817553
12.498872,76.817419
12.49887,76.817281
12.49886,76.817141
12.498848,76.817014
12.498836,76.816883
12.498821,76.816747
12.498805,76.81662
12.498784,76.816485
12.498756,76.816367
12.49873,76.816259
12.498704,76.816161
12.498676,76.816064
12.498651,76.815976
12.498625,76.815885
12.498599,76.815798
12.498569,76.815696
12.498529,76.815591
12.498483,76.815477
12.498427,76.815353
12.498363,76.81522
12.498272,76.81513
12.498225,76.814955
12.498151,76.814825
12.49807,76.81469
12.497989,76.814554
12.497906,76.814414
12.497824,76.814277
12.49774,76.814137
12.497657,76.813998
12.497573,76.813858
12.497487,76.813713
12.497402,76.813555
12.497324,76.813393
12.49724,76.813229
12.497177,76.813071
12.497118,76.812915
12.497066,76.812758
12.497014,76.812596
12.496954,76.812423
12.496894,76.812248
12.496851,76.81206
12.496805,76.811865
12.496763,76.81168
12.496727,76.811484
12.49669,76.811287
12.496655,76.811085
12.496635,76.810862
12.496614,76.810633
12.496593,76.810401
12.496572,76.810157
12.49655,76.809904
12.496527,76.809652
12.496505,76.8094
12.496483,76.809148
12.49646,76.80889
12.496437,76.808633
12.496414,76.808369
12.496387,76.808095
12.49636,76.807817
12.496334,76.807547
12.496314,76.807276
12.496296,76.807017
12.496279,76.806776
12.496263,76.806544
12.496246,76.806327
12.496228,76.806128
12.496211,76.805946
12.496196,76.805784
12.496181,76.805623
12.496168,76.805473
12.49615,76.8053
12.496119,76.805131
12.496088,76.804967
12.496058,76.804805
12.496032,76.804657
12.496008,76.804518
12.495987,76.804398
12.495965,76.804278
12.495944,76.804159
12.495926,76.804057
12.495907,76.803941
12.495892,76.803829
12.495877,76.803721
12.49586,76.803598
12.495841,76.803463
12.49582,76.803309
12.495799,76.803159
12.495775,76.802989
12.495751,76.802814
12.495724,76.802618
12.495697,76.802422
12.495668,76.80221
12.49564,76.802008
12.495613,76.801817
12.495581,76.801613
12.495548,76.801409
12.495514,76.801197
12.495478,76.800976
12.495442,76.800753
12.495404,76.800514
12.495365,76.80027
12.495322,76.800007
12.49528,76.799739
12.495239,76.799479
12.495197,76.799213
12.495157,76.798955
12.495119,76.798713
12.495082,76.79848
12.495046,76.79825
12.495009,76.798012
12.494969,76.797759
12.49493,76.797512
12.494894,76.797279
12.494862,76.797073
12.494828,76.796863
12.494796,76.79666
12.494764,76.79646
12.494735,76.796282
12.494705,76.796102
12.49468,76.795947
12.494659,76.795823
12.494637,76.795691
12.494615,76.795561
12.494595,76.795436
12.494574,76.795313
12.494559,76.795221
12.494547,76.795146
12.494536,76.795084
12.49453,76.795046
12.494525,76.795013
12.49452,76.794986
12.494516,76.794959
12.49451,76.794927
12.494503,76.794885
12.494497,76.794847
12.494492,76.794815
12.494462,76.794766
12.494432,76.79475
12.494465,76.794649
12.494454,76.794579
12.494441,76.794496
12.494426,76.794403
12.494409,76.794294
12.494389,76.79417
12.494368,76.794036
12.494346,76.793902
12.494325,76.793766
12.494301,76.793619
12.49428,76.793483
12.494259,76.793354
12.494238,76.793223
12.494218,76.793081
12.494195,76.792921
12.494167,76.792774
12.494137,76.79264
12.494108,76.792514
12.494083,76.792399
12.494057,76.792284
12.494032,76.792196
12.494008,76.792112
12.493987,76.792039
12.493974,76.791994
12.493969,76.791975
12.493964,76.791959
12.493961,76.791949
12.493956,76.791933
12.493948,76.791904
12.493938,76.791867
12.493923,76.791814
12.493902,76.791744
12.49388,76.791666
12.493858,76.791587
12.493833,76.791499
12.493804,76.791398
12.493756,76.791291
12.493738,76.791204
12.493695,76.791097
12.493653,76.790993
12.493613,76.790894
12.493569,76.790784
12.493516,76.790668
12.493458,76.790546
12.493395,76.790412
12.493325,76.790266
12.493249,76.790109
12.493169,76.789958
